,mal_user,series_title,series_type,series_episodes,my_score,my_status
48,Gugilta,Death Billiards,Movie,1,0,Plan to Watch
61,Gugilta,Evangelion: 3.0+1.0 Thrice Upon a Time,Movie,1,0,Plan to Watch
131,Gugilta,Kara no Kyoukai 1: Fukan Fuukei,Movie,1,0,Plan to Watch
228,Gugilta,Promare,Movie,1,0,Plan to Watch
312,Gugilta,"Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?",Movie,1,0,Plan to Watch
188,Gugilta,Mo Dao Zu Shi,ONA,15,0,Plan to Watch
206,Gugilta,Net-juu no Susume,ONA,10,0,Plan to Watch
3,Gugilta,Ajin,TV,13,0,Plan to Watch
4,Gugilta,Akame ga Kill!,TV,24,0,Plan to Watch
5,Gugilta,Akatsuki no Yona,TV,24,0,Plan to Watch
16,Gugilta,Asobi Asobase,TV,12,0,Plan to Watch
17,Gugilta,Baccano!,TV,13,0,Plan to Watch
20,Gugilta,Bakuman.,TV,25,0,Plan to Watch
21,Gugilta,Ballroom e Youkoso,TV,24,0,Plan to Watch
25,Gugilta,Boku no Hero Academia,TV,13,0,Plan to Watch
41,Gugilta,Claymore,TV,26,0,Plan to Watch
46,Gugilta,Cowboy Bebop,TV,26,0,Plan to Watch
52,Gugilta,Dorohedoro,TV,12,0,Plan to Watch
53,Gugilta,Dororo,TV,24,0,Plan to Watch
56,Gugilta,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,TV,13,0,Plan to Watch
57,Gugilta,Durarara!!,TV,24,0,Plan to Watch
58,Gugilta,ef: A Tale of Memories.,TV,12,0,Plan to Watch
71,Gugilta,Fruits Basket 1st Season,TV,25,0,Plan to Watch
76,Gugilta,Gintama,TV,201,0,Plan to Watch
77,Gugilta,Given,TV,11,0,Plan to Watch
83,Gugilta,Hai to Gensou no Grimgar,TV,12,0,Plan to Watch
84,Gugilta,Haibane Renmei,TV,13,0,Plan to Watch
91,Gugilta,Hajime no Ippo,TV,75,0,Plan to Watch
93,Gugilta,Hanasaku Iroha,TV,26,0,Plan to Watch
100,Gugilta,Higashi no Eden,TV,11,0,Plan to Watch
101,Gugilta,Higurashi no Naku Koro ni Gou,TV,24,0,Plan to Watch
105,Gugilta,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,TV,0,0,Plan to Watch
110,Gugilta,Hourou Musuko,TV,11,0,Plan to Watch
115,Gugilta,Initial D First Stage,TV,26,0,Plan to Watch
116,Gugilta,Inuyashiki,TV,11,0,Plan to Watch
119,Gugilta,Jinrui wa Suitai Shimashita,TV,12,0,Plan to Watch
120,Gugilta,Jujutsu Kaisen (TV),TV,24,0,Plan to Watch
121,Gugilta,Just Because!,TV,12,0,Plan to Watch
122,Gugilta,K-On!,TV,13,0,Plan to Watch
125,Gugilta,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen 3rd Season,TV,0,0,Plan to Watch
127,Gugilta,Kaiba,TV,12,0,Plan to Watch
128,Gugilta,Kaichou wa Maid-sama!,TV,26,0,Plan to Watch
129,Gugilta,Kakushigoto (TV),TV,12,0,Plan to Watch
130,Gugilta,Kanata no Astra,TV,12,0,Plan to Watch
132,Gugilta,Karakai Jouzu no Takagi-san,TV,12,0,Plan to Watch
137,Gugilta,Kemonozume,TV,13,0,Plan to Watch
140,Gugilta,Kimi ni Todoke,TV,25,0,Plan to Watch
143,Gugilta,Kimi to Boku.,TV,13,0,Plan to Watch
149,Gugilta,Kobayashi-san Chi no Maid Dragon,TV,13,0,Plan to Watch
167,Gugilta,Kuroko no Basket,TV,25,0,Plan to Watch
168,Gugilta,Kyoukai no Kanata,TV,12,0,Plan to Watch
169,Gugilta,Kyousou Giga (TV),TV,10,0,Plan to Watch
170,Gugilta,Little Witch Academia (TV),TV,25,0,Plan to Watch
172,Gugilta,Log Horizon,TV,25,0,Plan to Watch
173,Gugilta,Log Horizon: Entaku Houkai,TV,12,0,Plan to Watch
177,Gugilta,Magi: Sinbad no Bouken (TV),TV,13,0,Plan to Watch
180,Gugilta,Mahoutsukai no Yome,TV,24,0,Plan to Watch
182,Gugilta,Mawaru Penguindrum,TV,24,0,Plan to Watch
194,Gugilta,Mushishi,TV,26,0,Plan to Watch
195,Gugilta,Mushishi Zoku Shou,TV,10,0,Plan to Watch
196,Gugilta,Nagi no Asu kara,TV,26,0,Plan to Watch
200,Gugilta,Natsume Yuujinchou,TV,13,0,Plan to Watch
201,Gugilta,Nejimaki Seirei Senki: Tenkyou no Alderamin,TV,13,0,Plan to Watch
208,Gugilta,Nichijou,TV,26,0,Plan to Watch
211,Gugilta,Nodame Cantabile,TV,23,0,Plan to Watch
212,Gugilta,Non Non Biyori,TV,12,0,Plan to Watch
219,Gugilta,Ookami to Koushinryou,TV,13,0,Plan to Watch
220,Gugilta,Overlord,TV,13,0,Plan to Watch
226,Gugilta,Planetes,TV,26,0,Plan to Watch
248,Gugilta,Sakamichi no Apollon,TV,12,0,Plan to Watch
249,Gugilta,Sakamoto Desu ga?,TV,12,0,Plan to Watch
252,Gugilta,Sakurada Reset,TV,24,0,Plan to Watch
253,Gugilta,Samurai Champloo,TV,26,0,Plan to Watch
256,Gugilta,Seirei no Moribito,TV,26,0,Plan to Watch
279,Gugilta,Shoujo Shuumatsu Ryokou,TV,12,0,Plan to Watch
295,Gugilta,Tamako Market,TV,12,0,Plan to Watch
298,Gugilta,Tate no Yuusha no Nariagari Season 2,TV,0,0,Plan to Watch
299,Gugilta,Tate no Yuusha no Nariagari Season 3,TV,0,0,Plan to Watch
302,Gugilta,Tensei shitara Slime Datta Ken,TV,24,0,Plan to Watch
311,Gugilta,Tsurezure Children,TV,12,0,Plan to Watch
313,Gugilta,Uchouten Kazoku,TV,13,0,Plan to Watch
314,Gugilta,Uchuu Kyoudai,TV,99,0,Plan to Watch
315,Gugilta,Usagi Drop,TV,11,0,Plan to Watch
316,Gugilta,Vinland Saga,TV,24,0,Plan to Watch
320,Gugilta,Working!!,TV,13,0,Plan to Watch
322,Gugilta,xxxHOLiC,TV,24,0,Plan to Watch
332,Gugilta,Youjo Senki,TV,12,0,Plan to Watch
334,Gugilta,Yowamushi Pedal,TV,38,0,Plan to Watch
335,Gugilta,Yuru Camp△,TV,12,0,Plan to Watch
336,Gugilta,Yuru Camp△ Season 2,TV,13,0,Plan to Watch
55,Gugilta,Dr. Stone: Stone Wars,TV,11,0,Watching
106,Gugilta,Horimiya,TV,13,0,Watching
113,Gugilta,Hunter x Hunter (2011),TV,148,0,Watching
240,Gugilta,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,TV,12,0,Watching
269,Gugilta,Shingeki no Kyojin: The Final Season,TV,16,0,Watching
329,Gugilta,Yakusoku no Neverland 2nd Season,TV,11,0,Watching
175,Gugilta,Made in Abyss 2,Unknown,0,0,Plan to Watch
141,Gugilta,Kimi no Na wa.,Movie,1,10,Completed
142,Gugilta,Kimi no Suizou wo Tabetai,Movie,1,10,Completed
146,Gugilta,Kizumonogatari I: Tekketsu-hen,Movie,1,10,Completed
147,Gugilta,Kizumonogatari II: Nekketsu-hen,Movie,1,10,Completed
148,Gugilta,Kizumonogatari III: Reiketsu-hen,Movie,1,10,Completed
150,Gugilta,Koe no Katachi,Movie,1,10,Completed
331,Gugilta,Yoru wa Mijikashi Arukeyo Otome,Movie,1,10,Completed
338,Gugilta,Zoku Owarimonogatari,Movie,6,10,Completed
164,Gugilta,Koyomimonogatari,ONA,12,10,Completed
19,Gugilta,Bakemonogatari,TV,15,10,Completed
28,Gugilta,Chihayafuru,TV,25,10,Completed
29,Gugilta,Chihayafuru 2,TV,25,10,Completed
31,Gugilta,Chihayafuru 3,TV,24,10,Completed
54,Gugilta,Dr. Stone,TV,24,10,Completed
72,Gugilta,Fullmetal Alchemist: Brotherhood,TV,64,10,Completed
92,Gugilta,Hanamonogatari,TV,5,10,Completed
111,Gugilta,Houseki no Kuni (TV),TV,12,10,Completed
114,Gugilta,Hyouka,TV,22,10,Completed
124,Gugilta,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,TV,12,10,Completed
126,Gugilta,Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,TV,12,10,Completed
155,Gugilta,Kono Oto Tomare! 2nd Season,TV,13,10,Completed
191,Gugilta,Monogatari Series: Second Season,TV,26,10,Completed
203,Gugilta,Nekomonogatari: Kuro,TV,4,10,Completed
209,Gugilta,Nisemonogatari,TV,11,10,Completed
221,Gugilta,Owarimonogatari,TV,12,10,Completed
222,Gugilta,Owarimonogatari 2nd Season,TV,7,10,Completed
225,Gugilta,Ping Pong the Animation,TV,11,10,Completed
257,Gugilta,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,TV,13,10,Completed
261,Gugilta,Shigatsu wa Kimi no Uso,TV,22,10,Completed
282,Gugilta,Sora yori mo Tooi Basho,TV,13,10,Completed
310,Gugilta,Tsukimonogatari,TV,4,10,Completed
2,Gugilta,Air Movie,Movie,1,5,Completed
45,Gugilta,Colorful (Movie),Movie,1,5,Completed
107,Gugilta,Hoshi wo Ou Kodomo,Movie,1,5,Completed
108,Gugilta,Hotaru no Haka,Movie,1,5,Completed
109,Gugilta,Hotarubi no Mori e,Movie,1,5,Completed
118,Gugilta,Jin-Rou,Movie,1,5,Completed
123,Gugilta,Kaguya-hime no Monogatari,Movie,1,5,Completed
144,Gugilta,"Kimi to, Nami ni Noretara",Movie,1,5,Completed
181,Gugilta,Majo no Takkyuubin,Movie,1,5,Completed
183,Gugilta,Mimi wo Sumaseba,Movie,1,5,Completed
237,Gugilta,Rakuen Tsuihou,Movie,1,5,Completed
304,Gugilta,Tokyo Godfathers,Movie,1,5,Completed
34,Gugilta,Chuunibyou demo Koi ga Shitai! Lite,ONA,6,5,Completed
289,Gugilta,Steins;Gate: Soumei Eichi no Cognitive Computing,ONA,4,5,Completed
32,Gugilta,Chihayafuru 3: Ima Hitotabi no,Special,1,5,Completed
35,Gugilta,Chuunibyou demo Koi ga Shitai!: Depth of Field - Ai to Nikushimi Gekijou,Special,7,5,Completed
36,Gugilta,Chuunibyou demo Koi ga Shitai!: Kirameki no... Slapstick Noel,Special,1,5,Completed
199,Gugilta,Nana Recaps,Special,3,5,Completed
285,Gugilta,Steins;Gate 0: Kesshou Takei no Valentine - Bittersweet Intermedio,Special,1,5,Completed
15,Gugilta,Aoi Bungaku Series,TV,12,5,Completed
23,Gugilta,Beck,TV,26,5,Completed
78,Gugilta,Golden Time,TV,24,5,Completed
82,Gugilta,Gyakkyou Burai Kaiji: Ultimate Survivor,TV,26,5,Completed
117,Gugilta,Isshuukan Friends.,TV,12,5,Completed
6,Gugilta,Akira,Movie,1,6,Completed
12,Gugilta,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. Movie,Movie,1,6,Completed
59,Gugilta,Evangelion: 1.0 You Are (Not) Alone,Movie,1,6,Completed
60,Gugilta,Evangelion: 2.0 You Can (Not) Advance,Movie,1,6,Completed
62,Gugilta,Eve no Jikan (Movie),Movie,1,6,Completed
64,Gugilta,Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,Movie,1,6,Completed
112,Gugilta,Howl no Ugoku Shiro,Movie,1,6,Completed
163,Gugilta,Koukaku Kidoutai,Movie,1,6,Completed
166,Gugilta,"Kumo no Mukou, Yakusoku no Basho",Movie,1,6,Completed
202,Gugilta,Neko no Ongaeshi,Movie,1,6,Completed
205,Gugilta,Neon Genesis Evangelion: The End of Evangelion,Movie,1,6,Completed
233,Gugilta,Psycho-Pass Movie,Movie,1,6,Completed
234,Gugilta,Psycho-Pass: Sinners of the System Case.1 - Tsumi to Bachi,Movie,1,6,Completed
286,Gugilta,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Movie,1,6,Completed
301,Gugilta,Tenkuu no Shiro Laputa,Movie,1,6,Completed
307,Gugilta,Tonari no Totoro,Movie,1,6,Completed
30,Gugilta,Chihayafuru 2: Waga Miyo ni Furu Nagame Shima ni,OVA,1,6,Completed
70,Gugilta,FLCL,OVA,6,6,Completed
88,Gugilta,Haikyuu!!: Riku vs. Kuu,OVA,2,6,Completed
159,Gugilta,Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!,OVA,1,6,Completed
160,Gugilta,Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!,OVA,1,6,Completed
186,Gugilta,Mirai Nikki: Redial,OVA,1,6,Completed
325,Gugilta,Yahari Ore no Seishun Love Comedy wa Machigatteiru. OVA,OVA,1,6,Completed
327,Gugilta,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku OVA,OVA,1,6,Completed
8,Gugilta,Amagami SS: Tachibana Miya-hen - Imouto,Special,1,6,Completed
10,Gugilta,Angel Beats! Specials,Special,2,6,Completed
39,Gugilta,"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",Special,1,6,Completed
40,Gugilta,"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",Special,1,6,Completed
99,Gugilta,Hibike! Euphonium: Kakedasu Monaka,Special,1,6,Completed
287,Gugilta,Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,Special,1,6,Completed
288,Gugilta,Steins;Gate: Oukoubakko no Poriomania,Special,1,6,Completed
37,Gugilta,Clannad,TV,23,6,Completed
47,Gugilta,Danshi Koukousei no Nichijou,TV,12,6,Completed
103,Gugilta,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,TV,14,6,Completed
104,Gugilta,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,TV,12,6,Completed
198,Gugilta,Nana,TV,47,6,Completed
305,Gugilta,Tokyo Magnitude 8.0,TV,11,6,Completed
308,Gugilta,Toradora!,TV,25,6,Completed
18,Gugilta,Bakemono no Ko,Movie,1,7,Completed
26,Gugilta,Byousoku 5 Centimeter,Movie,3,7,Completed
63,Gugilta,Fate/stay night Movie: Heaven's Feel - I. Presage Flower,Movie,1,7,Completed
95,Gugilta,Hello World,Movie,1,7,Completed
135,Gugilta,Kaze no Tani no Nausicaä,Movie,1,7,Completed
136,Gugilta,Kaze Tachinu,Movie,1,7,Completed
153,Gugilta,Kokoro ga Sakebitagatterunda.,Movie,1,7,Completed
156,Gugilta,Kono Sekai no Katasumi ni,Movie,1,7,Completed
162,Gugilta,Kotonoha no Niwa,Movie,1,7,Completed
184,Gugilta,Mind Game,Movie,1,7,Completed
187,Gugilta,Mirai no Mirai,Movie,1,7,Completed
192,Gugilta,Mononoke Hime,Movie,1,7,Completed
197,Gugilta,Nakitai Watashi wa Neko wo Kaburu,Movie,1,7,Completed
215,Gugilta,Omoide no Marnie,Movie,1,7,Completed
223,Gugilta,Paprika,Movie,1,7,Completed
235,Gugilta,Psycho-Pass: Sinners of the System Case.2 - First Guardian,Movie,1,7,Completed
236,Gugilta,Psycho-Pass: Sinners of the System Case.3 - Onshuu no Kanata ni＿＿,Movie,1,7,Completed
250,Gugilta,Sakasama no Patema,Movie,1,7,Completed
259,Gugilta,Sen to Chihiro no Kamikakushi,Movie,1,7,Completed
260,Gugilta,Sennen Joyuu,Movie,1,7,Completed
290,Gugilta,Stranger: Mukou Hadan,Movie,1,7,Completed
291,Gugilta,Summer Wars,Movie,1,7,Completed
300,Gugilta,Tenki no Ko,Movie,1,7,Completed
303,Gugilta,Toki wo Kakeru Shoujo,Movie,1,7,Completed
318,Gugilta,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,Movie,1,7,Completed
51,Gugilta,Devilman: Crybaby,ONA,10,7,Completed
165,Gugilta,Kubikiri Cycle: Aoiro Savant to Zaregototsukai,OVA,8,7,Completed
263,Gugilta,Shingeki no Kyojin OVA,OVA,3,7,Completed
267,Gugilta,Shingeki no Kyojin: Kuinaki Sentaku,OVA,2,7,Completed
268,Gugilta,Shingeki no Kyojin: Lost Girls,OVA,3,7,Completed
275,Gugilta,Shokugeki no Souma: Ni no Sara OVA,OVA,2,7,Completed
67,Gugilta,Fate/stay night: Unlimited Blade Works Prologue,Special,1,7,Completed
152,Gugilta,Kokoro Connect: Michi Random,Special,4,7,Completed
319,Gugilta,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",Special,1,7,Completed
7,Gugilta,Amagami SS,TV,25,7,Completed
9,Gugilta,Angel Beats!,TV,13,7,Completed
11,Gugilta,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV,11,7,Completed
22,Gugilta,Barakamon,TV,12,7,Completed
27,Gugilta,Charlotte,TV,13,7,Completed
33,Gugilta,Chuunibyou demo Koi ga Shitai!,TV,12,7,Completed
43,Gugilta,Code Geass: Hangyaku no Lelouch,TV,25,7,Completed
65,Gugilta,Fate/stay night: Unlimited Blade Works,TV,12,7,Completed
66,Gugilta,Fate/stay night: Unlimited Blade Works 2nd Season,TV,13,7,Completed
68,Gugilta,Fate/Zero,TV,13,7,Completed
74,Gugilta,Gin no Saji,TV,11,7,Completed
75,Gugilta,Gin no Saji 2nd Season,TV,11,7,Completed
79,Gugilta,Grand Blue,TV,12,7,Completed
94,Gugilta,Hataraku Maou-sama!,TV,13,7,Completed
151,Gugilta,Kokoro Connect,TV,13,7,Completed
174,Gugilta,Made in Abyss,TV,13,7,Completed
178,Gugilta,Mahou Shoujo Madoka★Magica,TV,12,7,Completed
189,Gugilta,Mob Psycho 100,TV,12,7,Completed
204,Gugilta,Neon Genesis Evangelion,TV,26,7,Completed
207,Gugilta,NHK ni Youkoso!,TV,24,7,Completed
213,Gugilta,Noragami,TV,12,7,Completed
214,Gugilta,Noragami Aragoto,TV,13,7,Completed
216,Gugilta,One Outs,TV,25,7,Completed
217,Gugilta,One Punch Man,TV,12,7,Completed
227,Gugilta,Plastic Memories,TV,13,7,Completed
230,Gugilta,Psycho-Pass 2,TV,11,7,Completed
244,Gugilta,Saiki Kusuo no Ψ-nan,TV,120,7,Completed
251,Gugilta,Sakura-sou no Pet na Kanojo,TV,24,7,Completed
255,Gugilta,Sayonara Zetsubou Sensei,TV,12,7,Completed
270,Gugilta,Shinsekai yori,TV,25,7,Completed
280,Gugilta,Shouwa Genroku Rakugo Shinjuu,TV,13,7,Completed
281,Gugilta,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,12,7,Completed
293,Gugilta,Suzumiya Haruhi no Yuuutsu,TV,14,7,Completed
294,Gugilta,Suzumiya Haruhi no Yuuutsu (2009),TV,14,7,Completed
296,Gugilta,Tanaka-kun wa Itsumo Kedaruge,TV,12,7,Completed
297,Gugilta,Tate no Yuusha no Nariagari,TV,25,7,Completed
306,Gugilta,Tonari no Kaibutsu-kun,TV,13,7,Completed
309,Gugilta,Tsuki ga Kirei,TV,12,7,Completed
321,Gugilta,Wotaku ni Koi wa Muzukashii,TV,11,7,Completed
324,Gugilta,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,TV,12,7,Completed
333,Gugilta,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),TV,12,7,Completed
42,Gugilta,Code Geass: Fukkatsu no Lelouch,Movie,1,8,Completed
98,Gugilta,Hibike! Euphonium Movie 3: Chikai no Finale,Movie,1,8,Completed
176,Gugilta,Made in Abyss Movie 3: Fukaki Tamashii no Reimei,Movie,1,8,Completed
179,Gugilta,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,Movie,1,8,Completed
224,Gugilta,Perfect Blue,Movie,1,8,Completed
232,Gugilta,Psycho-Pass 3: First Inspector,Movie,3,8,Completed
241,Gugilta,Redline,Movie,1,8,Completed
292,Gugilta,Suzumiya Haruhi no Shoushitsu,Movie,1,8,Completed
246,Gugilta,Saiki Kusuo no Ψ-nan: Ψ-shidou-hen,ONA,6,8,Completed
243,Gugilta,ReLIFE: Kanketsu-hen,Special,4,8,Completed
247,Gugilta,Saiki Kusuo no Ψ-nan: Kanketsu-hen,Special,1,8,Completed
0,Gugilta,3-gatsu no Lion,TV,22,8,Completed
1,Gugilta,3-gatsu no Lion 2nd Season,TV,22,8,Completed
13,Gugilta,Ansatsu Kyoushitsu,TV,22,8,Completed
24,Gugilta,Boku dake ga Inai Machi,TV,12,8,Completed
38,Gugilta,Clannad: After Story,TV,24,8,Completed
44,Gugilta,Code Geass: Hangyaku no Lelouch R2,TV,25,8,Completed
50,Gugilta,Death Parade,TV,12,8,Completed
69,Gugilta,Fate/Zero 2nd Season,TV,12,8,Completed
73,Gugilta,Gekkan Shoujo Nozaki-kun,TV,12,8,Completed
81,Gugilta,Great Teacher Onizuka,TV,43,8,Completed
102,Gugilta,Hinamatsuri,TV,12,8,Completed
133,Gugilta,Katanagatari,TV,12,8,Completed
139,Gugilta,Kimetsu no Yaiba,TV,26,8,Completed
145,Gugilta,Kiseijuu: Sei no Kakuritsu,TV,24,8,Completed
185,Gugilta,Mirai Nikki,TV,26,8,Completed
190,Gugilta,Mob Psycho 100 II,TV,13,8,Completed
193,Gugilta,Monster,TV,74,8,Completed
229,Gugilta,Psycho-Pass,TV,22,8,Completed
231,Gugilta,Psycho-Pass 3,TV,8,8,Completed
239,Gugilta,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,TV,13,8,Completed
242,Gugilta,ReLIFE,TV,13,8,Completed
245,Gugilta,Saiki Kusuo no Ψ-nan 2,TV,24,8,Completed
262,Gugilta,Shingeki no Kyojin,TV,25,8,Completed
264,Gugilta,Shingeki no Kyojin Season 2,TV,12,8,Completed
265,Gugilta,Shingeki no Kyojin Season 3,TV,12,8,Completed
266,Gugilta,Shingeki no Kyojin Season 3 Part 2,TV,10,8,Completed
272,Gugilta,Shokugeki no Souma,TV,24,8,Completed
273,Gugilta,Shokugeki no Souma: Gou no Sara,TV,13,8,Completed
274,Gugilta,Shokugeki no Souma: Ni no Sara,TV,13,8,Completed
284,Gugilta,Steins;Gate 0,TV,23,8,Completed
317,Gugilta,Violet Evergarden,TV,13,8,Completed
323,Gugilta,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,TV,13,8,Completed
326,Gugilta,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,TV,13,8,Completed
